P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
HD 40307 c,0,0.2537284,Superterran,Hot,,6.6108225,,9.6184,710.14949,0.08004382,HD 40307,K,0.77,,4956,0.3857486
HD 40307 d,0,0.26168873,Superterran,Hot,,9.5030573,,20.432,552.25088,0.13242365,HD 40307,K,0.77,,4956,0.3857486
HD 40307 f,0,0.42563219,Superterran,Hot,,5.2123792,,51.76,403.98167,0.2470494,HD 40307,K,0.77,,4956,0.3857486
HD 40307 g,2,0.6874683,Superterran,Warm,42,7.0875645,2.57,197.8,257.81584,0.62523,HD 40307,K,0.77,0.59,4956,0.3857486
HD 40956 b,0,0.11930875,Jovian,Hot,,858.13561,,578.6,528.73943,1.44032,HD 40956,K,2,8.56,4869,36.897358
HD 40979 b,0,0.31276997,Jovian,Hot,,1484.2568,,264.14999,322.92965,0.8765625,HD 40979,F,1.45,1.21,6165,1.8949236
HD 41004 A b,0,0.23855321,Jovian,Cold,,807.28313,,963,150.41482,2.1580477,HD 41004 A,K,0.7,,5010,0.41090118
HD 4113 b,0,0.3774133,Jovian,Warm,,495.81168,,526.62,210.48251,1.8018618,HD 4113,G,0.99,,5688,1.0110252
HD 42012 b,0,0.22225448,Jovian,Cold,,508.5248,,857.5,166.51907,1.7034,HD 42012,K,0.83,0.82,5405,0.51416102
HD 4203 b,0,0.37485439,Jovian,Warm,,708.75645,,431.88,266.81117,1.328184,HD 4203,G,1.25,1.42,5596,1.7716428
HD 4203 c,0,0.10568362,Jovian,Cold,,689.68677,,6700,111.0858,7.15016,HD 4203,G,1.25,1.42,5596,1.7716428
HD 4208 b,0,0.2554822,Jovian,Cold,,257.44068,,832.97,180.19025,1.6634659,HD 4208,G,0.88,0.85,5717,0.69151128
HD 42618 b,0,0.44172971,Neptunian,Hot,,14.400787,,149.61,338.3763,0.5639997,HD 42618,G,1.01,1,5727,0.96382321
HD 4308 b,0,0.18944889,Neptunian,Hot,,15.8914,,15.56,730.69038,0.12,HD 4308,G,0.93,1.02,5686,0.97435319
HD 4313 b,0,0.15508539,Jovian,Hot,,612.45456,,356.21,458.59847,1.1695008,HD 4313,G,1.63,5.14,4943,14.131144
HD 43197 b,0,0.35725316,Jovian,Warm,,190.6968,,327.8,239.54251,1.236894,HD 43197,G,0.96,1,5508,0.82463995
HD 43691 b,0,0.086387467,Jovian,Hot,,810.46141,,36.9987,696.0613,0.238754,HD 43691,G,1.32,1.6,6093,3.1612098
HD 44219 b,0,0.3692825,Jovian,Warm,,184.34024,,472.3,260.15953,1.4113995,HD 44219,G,1,1.32,5752,1.7088818
HD 45184 b,0,0.19518716,Neptunian,Hot,,12.204595,,5.8854,1007.3127,0.06455778,HD 45184,G,1.03,,5869,1.0148039
HD 45184 c,0,0.22794,Superterran,Hot,,8.8038357,,13.1354,770.74536,0.1102695,HD 45184,G,1.03,,5869,1.0148039
HD 45350 b,0,0.35002486,Jovian,Cold,,568.91213,,963.6,183.31688,2.5010726,HD 45350,G,1.02,,5616,1.1901372
HD 45364 b,0,0.41190401,Jovian,Warm,,59.497402,,226.93,284.83626,0.69096034,HD 45364,K,0.82,,5434,0.73043375
HD 45364 c,0,0.38616366,Jovian,Warm,,209.09904,,342.85,248.50625,0.90145576,HD 45364,K,0.82,,5434,0.73043375
HD 45652 b,0,0.13240564,Jovian,Hot,,137.61953,,44.073,452.90427,0.28066121,HD 45652,G,0.92,0.94,5294,0.62184207
HD 46375 b,0,0.089551175,Jovian,Hot,,71.829129,,3.023573,1083.7012,0.039878983,HD 46375,K,0.92,,5285,0.51910623
HD 47186 b,0,0.15238376,Neptunian,Hot,,22.24796,,4.0845,1158.7418,0.05004,HD 47186,G,0.96,1.08,5657,1.0702392
HD 47186 c,0,0.22781713,Jovian,Cold,,111.43368,,1353.6,166.78267,2.4692462,HD 47186,G,0.96,1.08,5657,1.0702392
HD 4732 b,0,0.15169376,Jovian,Hot,,753.25237,,360.2,465.12936,1.2000555,HD 4732,K,1.74,5.4,4959,15.799837
HD 4732 c,0,0.38501839,Jovian,Warm,,753.25237,,2732,236.03292,4.72167,HD 4732,K,1.74,5.4,4959,15.799837
HD 47366 b,0,0.12110895,Jovian,Hot,,556.19901,,363.3,525.68525,1.218808,HD 47366,K,1.81,7.3,4866,26.768423
HD 47366 c,0,0.17817739,Jovian,Hot,,591.16009,,684.7,423.6142,1.9246036,HD 47366,K,1.81,7.3,4866,26.768423
HD 47536 b,0,0.092704376,Jovian,Hot,,2326.501,,712.13,662.49574,1.9686,HD 47536,K,0.91,22.39,4424,172.05104
HD 48265 b,0,0.38963454,Jovian,Warm,,484.6877,,778.51,257.88977,1.8543805,HD 48265,G,1.31,1.9,5733,3.4940057
HD 4917 b,0,0.17045393,Jovian,Hot,,513.29222,,400.5,438.43404,1.1695417,HD 4917,K,1.32,5.01,4802,11.95784
HD 49674 b,0,0.13224296,Neptunian,Hot,,31.7828,,4.94737,1017.57,0.060243,HD 49674,G,1.03,1.02,5602,0.91803958
HD 50499 b,0,0.20394598,Jovian,Cold,,519.96661,,2447.1,158.90183,3.9686039,HD 50499,G,1.25,1.35,6102,2.2638362
HD 50499 c,0,0.096782201,Jovian,Cold,,931.23605,,8619.9,104.05259,9.02,HD 50499,G,1.25,1.35,6102,2.2638362
HD 50554 b,0,0.26115436,Jovian,Cold,,1574.5199,,1293,170.83969,2.6483027,HD 50554,F,1.04,1.02,5987,1.1976393
HD 51608 b,0,0.20608105,Neptunian,Hot,,12.776686,,14.0726,717.0904,0.1063289,HD 51608,G,0.8,,5358,0.70532498
HD 51608 c,0,0.37340089,Neptunian,Hot,,14.30226,,95.9446,377.83478,0.38463282,HD 51608,G,0.8,,5358,0.70532498
HD 52265 b,0,0.19141179,Jovian,Hot,,384.57188,,119.27,408.4394,0.538954,HD 52265,G,1.2,,6136,1.8197473
HD 5319 b,0,0.27913999,Jovian,Hot,,494.54037,,637.1,345.07866,1.5766442,HD 5319,G,1.27,4.06,4871,8.3140615
HD 5319 c,0,0.32997851,Jovian,Hot,,334.67289,,872.2,310.7437,1.9623169,HD 5319,G,1.27,4.06,4871,8.3140615
HD 55696 b,0,0.31486875,Jovian,Cold,,1229.9944,,1827,176.64996,3.9702697,HD 55696,G,1.29,1.52,6012,2.7042803
HD 5583 b,0,0.077309987,Jovian,Hot,,1837.0459,,139.35,881.35559,0.53153064,HD 5583,K,1.01,9.09,4830,40.290711
HD 5608 b,0,0.26870091,Jovian,Hot,,534.26887,,779.9,352.48111,1.9139964,HD 5608,K,1.53,5.14,4877,13.391398
HD 564 b,0,0.39076355,Jovian,Warm,,104.88324,,492.3,238.52592,1.2055296,HD 564,G,0.96,1.01,5902,1.1089915
HD 5891 b,0,0.079651876,Jovian,Hot,,2425.0277,,177.11,839.57695,0.641568,HD 5891,G,1.93,10.64,4673,48.367654
HD 59686 A b,0,0.087256664,Jovian,Hot,,2199.3698,,299.36,715.68296,1.0873575,HD 59686 A,K,1.9,13.2,4658,73.491049
HD 60532 b,0,0.1276471,Jovian,Hot,,336.89768,,201.9,500.72793,0.796026,HD 60532,F,1.5,2.57,6245,9.0008736
HD 60532 c,0,0.27575682,Jovian,Hot,,797.74829,,600.1,348.8443,1.60072,HD 60532,F,1.5,2.57,6245,9.0008736
HD 62509 b,0,0.13777659,Jovian,Hot,,731.00441,,589.64,490.72582,1.640328,HD 62509,K,2.1,8.31,4946,37.026029
HD 63454 b,0,0.088000247,Jovian,Hot,,79.457001,,2.81805,930.5893,0.04,HD 63454,K,0.42,0.77,4812,0.28482137
HD 63765 b,0,0.36614253,Jovian,Warm,,168.44884,,358,224.86454,0.967072,HD 63765,G,0.65,0.83,5449,0.54414177
HD 6434 b,0,0.079657814,Jovian,Hot,,155.73572,,21.998,717.91336,0.142023,HD 6434,G,1.1,1.12,5769,1.2448782
HD 65216 b,0,0.33886654,Jovian,Warm,,411.58726,,577.6,208.11696,1.3484215,HD 65216,G,0.87,,5612,0.76785346
HD 65216 c,0,0.091537987,Jovian,Cold,,645.19085,,5370,99.275025,5.8330875,HD 65216,G,0.87,,5612,0.76785346
HD 66141 b,0,0.080637543,Jovian,Hot,,1906.968,,480.5,804.4247,1.20294,HD 66141,K,1.1,21.4,4323,143.30361
HD 66428 b,0,0.17365301,Jovian,Cold,,1018.3209,,2263.12,141.0137,3.8883254,HD 66428,G,1.08,1.1,5773,1.204149
HD 67087 b,0,0.29737553,Jovian,Hot,,972.55369,,352.2,333.64466,1.095606,HD 67087,F,1.36,1.55,6330,3.4559455
HD 67087 c,0,0.30842452,Jovian,Cold,,1541.4658,,2374,169.22453,4.974768,HD 67087,F,1.36,1.55,6330,3.4559455
HD 6718 b,0,0.13723049,Jovian,Cold,,533.95104,,2496,132.18902,3.56775,HD 6718,G,1.08,0.95,5801,0.91568757
HD 68402 b,0,0.25744696,Jovian,Cold,,975.73197,,1103,179.38306,2.180981,HD 68402,G,1.12,1.02,5950,1.1683067
HD 68988 b,0,0.070330698,Jovian,Hot,,626.12117,,6.27711,1077.0858,0.070504,HD 68988,G,1.28,1.19,5932,1.5710396
HD 70573 b,0,0.25680865,Jovian,Cold,,1938.7508,,851.8,172.72433,1.9008,HD 70573,G,1,,5737,0.68238244
HD 70642 b,0,0.14854378,Jovian,Cold,,633.43121,,2124.54,137.04398,3.3688069,HD 70642,G,1.08,0.98,5732,0.92889265
HD 7199 b,0,0.33168878,Jovian,Warm,,85.813561,,615,199.47993,1.384548,HD 7199,K,0.77,0.97,5371,0.70154046
HD 72490 b,0,0.26702,Jovian,Hot,,561.91991,,858,352.90601,1.8944534,HD 72490,G,1.21,4.96,4934,13.06317
HD 72659 b,0,0.1681931,Jovian,Cold,,1223.6378,,3658,144.5163,4.86495,HD 72659,G,1.43,1.46,5932,2.3648246
HD 72892 b,0,0.10433789,Jovian,Hot,,1732.1626,,39.475,573.16685,0.24839791,HD 72892,G,1.02,1.22,5688,1.3958754
HD 73267 b,0,0.18789128,Jovian,Cold,,984.31333,,1245.36,152.65245,2.2448461,HD 73267,G,0.9,0.91,5387,0.62482635
HD 73526 b,0,0.2321675,Jovian,Hot,,978.91025,,188.3,377.90466,0.6617325,HD 73526,G,1.14,1.53,5601,2.0641146
HD 73526 c,0,0.34630363,Jovian,Hot,,715.11301,,379.1,299.38895,1.070376,HD 73526,G,1.14,1.53,5601,2.0641146
HD 73534 b,0,0.31579843,Jovian,Warm,,353.42474,,1750,201.12163,3.0137346,HD 73534,G,1.16,2.58,4917,3.4860121
HD 7449 b,0,0.33563575,Jovian,Cold,,161.45663,,1255.5,155.05654,3.387216,HD 7449,G,1.05,,6024,1.047171
HD 75289 b,0,0.064856719,Jovian,Hot,,155.73572,,3.50927,1337.207,0.0500225,HD 75289,G,1.29,1.23,6117,1.8978103
HD 75784 b,0,0.21718167,Jovian,Hot,,317.828,,341.2,389.15442,1.036855,HD 75784,G,1.26,3.4,4867,5.8115485
HD 75784 c,0,0.15885306,Jovian,Cold,,1792.5499,,7900,134.31499,9.4043082,HD 75784,G,1.26,3.4,4867,5.8115485
HD 75898 b,0,0.34819459,Jovian,Hot,,861.31389,,422.9,302.49977,1.1982056,HD 75898,G,1.26,1.58,5963,2.827887
HD 76700 b,0,0.091076805,Jovian,Hot,,66.743881,,3.97097,1301.5445,0.0502025,HD 76700,G,0.99,1.37,5644,1.706388
HD 76920 b,0,0.097791256,Jovian,Hot,,1249.0641,,415.4,497.23738,1.5699568,HD 76920,K,1.17,7.47,4698,24.35465
HD 77338 b,0,0.16586334,Neptunian,Hot,,19.06968,,5.7361,946.08369,0.060243,HD 77338,K,1.37,0.97,5341,0.68599733
HD 7924 b,0,0.24750283,Superterran,Hot,,6.3565601,,5.39792,815.25399,0.060108,HD 7924,K,0.65,0.78,5131,0.37782084
HD 7924 c,0,0.26267992,Superterran,Hot,,7.8598865,,15.299,592.78678,0.11394455,HD 7924,K,0.65,0.78,5131,0.37782084
HD 7924 d,0,0.31015569,Superterran,Hot,,6.4391953,,24.451,505.76542,0.15851995,HD 7924,K,0.65,0.78,5131,0.37782084
HD 79498 b,0,0.195477,Jovian,Cold,,425.88952,,1807,146.99896,3.4726313,HD 79498,G,1.08,1.05,5748,1.0782868
HD 80606 b,0,0.15898155,Jovian,Hot,,1392.0867,11.9947,111.4367,335.83774,0.67999726,HD 80606,G,1.15,1.04,5561,0.9267592
HD 81040 b,0,0.2650915,Jovian,Cold,,2310.6096,,1001.7,170.45264,2.212473,HD 81040,G,1.05,0.91,5755,0.81386569
HD 81688 b,0,0.076858935,Jovian,Hot,,858.13561,,184.02,839.29387,0.81,HD 81688,G,2.1,13,4753,77.276351
HD 82886 b,0,0.2097798,Jovian,Hot,,740.53925,,705,398.21403,1.583871,HD 82886,G,2.53,5.26,4953,14.918785
HD 82943 b,0,0.39060995,Jovian,Warm,,534.26887,,441.47,251.39081,1.1985841,HD 82943,G,1.2,,6016,1.3356756
HD 82943 c,0,0.31514153,Jovian,Hot,,622.62506,,220.078,314.89377,0.79332646,HD 82943,G,1.2,,6016,1.3356756
HD 83443 b,0,0.072377826,Jovian,Hot,,108.06152,,2.9857,1162.8048,0.040002,HD 83443,K,0.79,0.94,5442,0.6943501
HD 8535 b,0,0.2798596,Jovian,Cold,,216.12304,,1313,188.22549,2.4775625,HD 8535,G,1.13,1.19,6136,1.798556
HD 85390 b,0,0.37405678,Neptunian,Cold,,31.464972,,799.52,181.91669,1.544625,HD 85390,K,0.76,,5186,0.52412163
HD 85512 b,0,0.67770784,Terran,Hot,,3.17828,,58.43,312.96699,0.261573,HD 85512,K,0.43,0.71,4300,0.15441133
HD 8574 b,0,0.25229472,Jovian,Hot,,645.19085,,227,358.10074,0.7942,HD 8574,F,1.34,1.38,6064,2.3071912
HD 86081 b,0,0.066817227,Jovian,Hot,,470.38544,,2.1378431,1700.4542,0.03460245,HD 86081,F,1.21,1.46,5939,2.3760067
HD 86226 b,0,0.18978765,Jovian,Cold,,292.40176,,1695,155.70994,2.87195,HD 86226,G,1.06,1.02,5903,1.1318272
HD 86264 b,0,0.39184744,Jovian,Warm,,2224.796,,1475,214.11209,3.5607,HD 86264,F,1.42,1.88,6210,4.709456
HD 8673 b,0,0.35075378,Jovian,Cold,,4513.1576,,1634,186.18104,3.8093208,HD 8673,F,1.35,1.39,6472,3.0371922
HD 86950 b,0,0.23035601,Jovian,Hot,,1144.1808,,1270,380.25661,2.759304,HD 86950,K,1.66,8.8,4805,36.985165
HD 87646 b,0,0.07814264,Jovian,Hot,,3941.0672,,13.481,925.54571,0.11714625,HD 87646,G,1.12,1.55,5770,2.3859168
HD 87883 b,0,0.097202111,Jovian,Cold,,489.45512,,2754,99.846792,4.082811,HD 87883,K,0.66,0.79,4915,0.32631491
HD 88133 b,0,0.077356043,Jovian,Hot,,90.422067,,3.414884,1610.5879,0.047923016,HD 88133,G,1.26,2.2,5392,3.6655027
HD 89307 b,0,0.18370945,Jovian,Cold,,670.61709,,2166,151.85315,3.3354,HD 89307,G,1.27,1.1,5955,1.3633303
HD 89345 b,0,0.11573175,Jovian,Hot,,34.96108,7.3986,11.8143,992.77139,0.10917972,HD 89345,G,1.16,1.75,5576,2.6525025
HD 89744 b,0,0.16608103,Jovian,Hot,,2653.8638,,256.78,404.11183,1.1271438,HD 89744,F,1.86,,6291,6.0768726
HD 90156 b,0,0.2578814,Neptunian,Hot,,18.116196,,49.77,458.14107,0.2620125,HD 90156,G,0.84,,5599,0.66989942
HD 9174 b,0,0.34587394,Jovian,Warm,,352.78908,,1179,213.97953,2.21584,HD 9174,G,1.03,1.67,5577,2.4172645
HD 92788 b,0,0.38082317,Jovian,Warm,,1195.0333,,325.803,272.30677,1.0294125,HD 92788,G,1.15,1.14,5744,1.2675237
HD 92788 c,0,0.082329679,Jovian,Cold,,1166.4288,,11611.298,82.25991,11.6109,HD 92788,G,1.15,1.14,5744,1.2675237
HD 92987 b,0,0.10131964,Jovian,Cold,,5364.9367,,10354.837,102.7833,9.832121,HD 92987,G,1.08,1.58,5770,2.4791687
HD 93083 b,0,0.31457012,Jovian,Hot,,117.59636,,143.58,322.46532,0.4816746,HD 93083,K,0.7,,4995,0.58685182
HD 9446 b,0,0.099646756,Jovian,Hot,,222.4796,,30.052,585.85778,0.19278,HD 9446,G,1,1,5793,1.0090269
HD 9446 c,0,0.32695842,Jovian,Hot,,578.44697,,192.9,315.67042,0.6551772,HD 9446,G,1,1,5793,1.0090269
HD 94834 b,0,0.38812324,Jovian,Warm,,400.46328,,1576,261.51215,2.766852,HD 94834,K,1.11,4.2,4798,8.3758367
HD 95089 b,0,0.18629589,Jovian,Hot,,400.46328,,464.4,418.58354,1.3696295,HD 95089,G,1.54,5.08,4918,13.526024
HD 95089 c,0,0.38775833,Jovian,Warm,,1096.5066,,1785,266.36514,3.4642922,HD 95089,G,1.54,5.08,4918,13.526024
HD 95127 b,0,0.075247506,Jovian,Hot,,3378.5117,,482,1051.56,1.287744,HD 95127,K,3.7,41.01,4218,476.97376
HD 95872 b,0,0.088604081,Jovian,Cold,,1188.6767,,4375,94.539507,5.15927,HD 95872,K,0.7,0.84,5312,0.50336091
HD 96063 b,0,0.15460061,Jovian,Hot,,403.64156,,362.5,456.89408,1.1260395,HD 96063,G,1.37,4.75,5020,12.837804
HD 96127 b,0,0.077152609,Jovian,Hot,,6661.6749,,647.29999,1036.5884,1.4839,HD 96127,K,10.94,51.1,3943,565.50644
HD 96167 b,0,0.30093322,Jovian,Hot,,227.88268,,498.04,294.75772,1.6445039,HD 96167,G,1.27,1.94,5733,3.6426704
HD 97658 b,0,0.26332394,Superterran,Hot,,9.5348401,2.3541,9.4909,675.39298,0.084519876,HD 97658,K,0.89,0.74,5175,0.35187912
HD 98219 b,0,0.19202898,Jovian,Hot,,624.2142,,433.8,414.61713,1.2639318,HD 98219,K,1.41,4.6,4925,11.153964
HD 98649 b,0,0.1173282,Jovian,Cold,,2158.0521,,6022.9725,94.15874,8.999586,HD 98649,G,1.03,1.01,5790,1.0271779
HD 98736 b,0,0.21619639,Jovian,Cold,,740.53925,,968.8,163.57727,1.9116028,HD 98736,G,0.92,0.93,5271,0.59817273
HD 99109 b,0,0.3513205,Jovian,Warm,,139.84432,,439.29999,218.64859,1.1144955,HD 99109,G,0.76,0.98,5282,0.66978341
HD 99492 b,0,0.19645114,Neptunian,Hot,,22.24796,,17.0431,555.95076,0.12375,HD 99492,K,0.48,0.83,4815,0.33176456
HD 99706 b,0,0.25592989,Jovian,Hot,,390.92844,,841,356.40477,2.041875,HD 99706,K,1.46,5.52,4862,15.255506
HD 99706 c,0,0.32665405,Jovian,Hot,,1808.4413,,1278,307.98981,2.8348377,HD 99706,K,1.46,5.52,4862,15.255506
HIP 105854 b,0,0.09307773,Jovian,Hot,,2606.1896,,184.2,667.10835,0.810162,HIP 105854,K,2.1,,4780,30.847454
HIP 107773 b,0,0.074638458,Jovian,Hot,,629.29945,,144.3,874.43147,0.722916,HIP 107773,K,2.42,11.6,4945,72.089134
HIP 109384 b,0,0.34069329,Jovian,Warm,,495.81168,,499.48,198.18524,1.3048944,HIP 109384,G,0.78,,5180,0.51133096
HIP 109600 b,0,0.37943756,Jovian,Warm,,851.77905,,232.08,277.61524,0.71537886,HIP 109600,G,0.87,,5530,0.70747032
HIP 116454 b,0,0.25761765,Neptunian,Hot,,12.71312,2.4662,9.1205,672.83686,0.081211432,HIP 116454,K,0.81,0.72,5089,0.31151821
HIP 12961 b,0,0.38018968,Jovian,Warm,,114.41808,,57.435,276.75095,0.2536125,HIP 12961,M,0.69,0.65,3901,0.087663572
HIP 14810 b,0,0.074118583,Jovian,Hot,,1239.5292,,6.673892,956.8892,0.070321513,HIP 14810,G,1.01,1.07,5544,0.96905648
HIP 14810 c,0,0.28384358,Jovian,Hot,,416.35468,,147.747,340.62455,0.55573172,HIP 14810,G,1.01,1.07,5544,0.96905648
HIP 14810 d,0,0.26025046,Jovian,Cold,,187.51852,,981.8,181.0897,1.9731983,HIP 14810,G,1.01,1.07,5544,0.96905648
HIP 41378 b,0,0.006768491,Neptunian,Hot,347,6.83,2.51,15.572098,885.95253,0.128569,HIP 41378,F,1.17,1.34,6226,2.4173231
HIP 41378 c,0,0.017188062,Neptunian,Hot,347,7.08,2.56,31.70648,698.99942,0.2065397,HIP 41378,F,1.17,1.34,6226,2.4173231
HIP 41378 d,0,0.25311802,Neptunian,Warm,347,14.9,3.96,1114,213.41802,2.2156187,HIP 41378,F,1.17,1.34,6226,2.4173231
HIP 41378 f,0,0.25672572,Jovian,Warm,347,74,10.2,1084,215.36893,2.1756602,HIP 41378,F,1.17,1.34,6226,2.4173231
HIP 5158 b,0,0.31743996,Jovian,Warm,,305.11488,,345.72,191.21702,1.010328,HIP 5158,K,0.43,0.75,4813,0.2704423
HIP 5158 c,0,0.077494171,Jovian,Cold,,4780.1332,,9017.76,66.127696,7.77546,HIP 5158,K,0.43,0.75,4813,0.2704423
HIP 57274 b,0,0.26242461,Superterran,Hot,,6.3565601,,8.1352,662.06779,0.0712635,HIP 57274,K,0.29,0.78,4510,0.22551946
HIP 57274 c,0,0.18677761,Jovian,Hot,,129.99801,,32.03,416.06672,0.1782225,HIP 57274,K,0.29,0.78,4510,0.22551946
HIP 57274 d,0,0.2429949,Jovian,Cold,,167.40001,,431.7,173.88489,1.0468145,HIP 57274,K,0.29,0.78,4510,0.22551946
HIP 63242 b,0,0.076658517,Jovian,Hot,,2917.6611,,124.6,942.56985,0.57994425,HIP 63242,G,1.54,,4830,60.617453
HIP 65407 b,0,0.10836744,Jovian,Hot,,136.03039,,28.125,550.50207,0.1787346,HIP 65407,K,0.93,,5460,0.68634419
HIP 65407 c,0,0.19108999,Jovian,Hot,,249.17715,,67.3,412.13973,0.3182752,HIP 65407,K,0.93,,5460,0.68634419
HIP 65426 b,0,0.056600465,Jovian,Cold,,2860.452,16.815,,54.045813,92,HIP 65426,A,1.96,1.77,8840,17.141319
HIP 65891 b,0,0.21830815,Jovian,Hot,,1906.968,,1084.5,392.46309,2.8337445,HIP 65891,K,2.5,8.93,5000,44.655153
HIP 67537 b,0,0.34569819,Jovian,Warm,,3527.8908,,2556.5,285.33772,5.7645855,HIP 67537,K,2.41,8.69,4985,41.781964
HIP 67851 b,0,0.078490591,Jovian,Hot,,438.60264,,88.9,773.10759,0.460575,HIP 67851,K,1.63,5.92,4890,17.954259
HIP 67851 c,0,0.39089745,Jovian,Warm,,1900.6115,,2131.8,267.83328,3.875199,HIP 67851,K,1.63,5.92,4890,17.954259
HIP 74890 b,0,0.26709595,Jovian,Hot,,762.78721,,822.3,354.24514,2.105145,HIP 74890,K,1.74,5.77,4850,16.504685
HIP 79431 b,0,0.26884722,Jovian,Warm,,667.43881,,111.7,180.84188,0.375138,HIP 79431,M,0.42,0.54,3368,0.033617429
HIP 8541 b,0,0.28395463,Jovian,Hot,,1748.054,,1560.2,343.66567,2.83584,HIP 8541,K,1.17,7.83,4670,26.126407
HIP 91258 b,0,0.071289786,Jovian,Hot,,346.43252,,5.0505,936.88435,0.060012,HIP 91258,G,0.97,0.89,5519,0.65843095
HIP 97233 b,0,0.29801341,Jovian,Hot,,6356.5601,,1058.8,311.96914,3.0244275,HIP 97233,K,1.93,5.34,5020,16.225049
HN Peg b,0,0.074924735,Jovian,Cold,,6991.8029,11.78171,,9.6584895,773,HN Peg,G,1.1,1.04,5974,1.2342871
HR 810 b,0,0.34929904,Jovian,Hot,,721.46957,,302.79999,300.88568,0.929016,HR 810,G,1.34,1.13,6167,1.6547841
HR 858 b,0,0.25172086,Superterran,Hot,,,2.08506,3.58599,1419.6786,0.05016,HR 858,F,1.15,1.31,6201,2.2734121
HR 858 c,0,0.26030067,Superterran,Hot,,,1.93933,5.97293,1202.2508,0.06861657,HR 858,F,1.15,1.31,6201,2.2734121
HR 858 d,0,0.25246562,Superterran,Hot,,,2.16353,11.23,971.30416,0.10672584,HR 858,F,1.15,1.31,6201,2.2734121
K2-10 b,0,0.20467836,Neptunian,Hot,,26.999489,3.84503,19.3044,658.59256,0.14352417,K2-10,F,0.92,0.98,5620,0.85839279
K2-100 b,0,0.18873969,Neptunian,Hot,,,3.5872,1.673833,1745.4021,0.0296,K2-100,G,1.23,1.22,6168,1.9301265
K2-101 b,0,0.3133867,Superterran,Hot,,,1.99538,14.677286,549.63987,0.10942993,K2-101,K,0.8,0.73,4819,0.25749101
K2-102 b,0,0.32911591,Terran,Hot,,,1.30036,9.915615,605.71252,0.083186394,K2-102,K,0.77,0.71,4695,0.21945614
K2-104 b,0,0.27702315,Superterran,Hot,,,1.96175,1.974238,721.15052,0.02309315,K2-104,M,0.43,0.49,3546.46,0.034029931
K2-105 b,0,0.2072188,Neptunian,Hot,,,3.37421,8.267704,814.31404,0.0796,K2-105,K,0.99,0.91,5464,0.66132386
K2-107 b,0,0.057637765,Jovian,Hot,,,15.98546,3.313959,1649.126,0.0475,K2-107,F,1.3,1.81,6061,3.961165
K2-108 b,0,0.14460979,Neptunian,Hot,,,5.33596,4.733999,1358.3003,0.0581,K2-108,G,1.17,1.76,5599,2.7274441
K2-11 b,0,0.11193462,Jovian,Hot,,,7.55554,39.93767,1143.9173,0.2257,K2-11,G,1.35,5.15,5433,20.704365
K2-110 b,0,0.27636471,Neptunian,Hot,,,2.55588,13.86387,573.67539,0.1027,K2-110,K,0.75,0.71,4950,0.27116032
K2-111 b,0,0.26289272,Superterran,Hot,,8.6004258,1.9057,5.35117,1124.0314,0.0621,K2-111,G,0.88,1.23,5730,1.4612259
K2-113 b,0,0.076103864,Jovian,Hot,,,12.14043,5.817685,1096.4197,0.0642,K2-113,G,1.04,1.24,5660,1.4138318
K2-114 b,0,0.10514681,Jovian,Hot,,,10.67192,11.391013,659.71689,0.0954,K2-114,K,0.89,0.84,5044,0.40921122
K2-115 b,0,0.10321497,Jovian,Hot,,,12.06196,20.272615,618.5525,0.143,K2-115,G,0.95,0.88,5657,0.71055665
K2-116 b,0,0.3034387,Subterran,Hot,,,0.69502,4.655411,715.91344,0.0480864,K2-116,K,0.69,0.67,4348.35,0.1437925
K2-117 b,0,0.26319595,Superterran,Hot,,,2.02901,1.2916,865.03407,0.0189,K2-117,M,0.54,0.51,3778,0.047476294
K2-117 c,0,0.31598612,Superterran,Hot,,,2.06264,5.444017,536.14414,0.0492,K2-117,M,0.54,0.51,3778,0.047476294
K2-118 b,0,0.47333689,Neptunian,Hot,,,2.54467,50.92092,358.68922,0.2499,K2-118,K,0.76,0.73,4726.29,0.23824063
K2-119 b,0,0.25622496,Neptunian,Hot,,,2.53346,7.727283,666.34152,0.0698,K2-119,K,0.76,0.71,4740,0.22799153
K2-12 b,0,0.24660991,Superterran,Hot,,,2.33168,8.28212,907.23243,0.0802,K2-12,F,1.01,1.01,5800,1.0342925
K2-120 b,0,0.30793134,Superterran,Hot,,,2.00659,9.562742,561.2439,0.0787644,K2-120,K,0.69,0.67,4349.9,0.14399763
K2-121 b,0,0.12690273,Jovian,Hot,,,7.49949,5.185761,721.93602,0.0525,K2-121,K,0.72,0.68,4551,0.17771898
K2-122 b,0,0.30304144,Terran,Hot,,,1.21068,2.219282,814.4265,0.0285,K2-122,M,0.62,0.6,4027,0.084823788
K2-123 b,0,0.51326925,Neptunian,Hot,,,2.75766,30.951524,336.41573,0.1649,K2-123,K,0.62,0.59,4035,0.082673596
K2-124 b,0,0.33491963,Neptunian,Hot,,,2.90339,6.413651,443.93517,0.049,K2-124,M,0.39,0.39,3570,0.022135571
